Name,GAR,AAV,Age,Pos
Niklas.Hjalmarsson,4.4,4.1,27,D
Roman.Josi,5.6,4,24,D
Marcus.Kruger,7,1.325,24,C
Brandon.Dubinsky,5.2,4.2,28,C
Patrick.Wiercioch,6.3,2,24,D
Jimmy.Hayes,5.2,0.925,24,W
Adam.Lowry,5.9,0.828,21,W
Brayden.Schenn,5.2,2.5,23,W
Shawn.Horcoff,5.1,5.5,35,W
Karl.Alzner,6.8,2.8,25,D
Blake.Comeau,5.6,0.7,28,W
Ryan.McDonagh,7.3,4.7,25,D
Matt.Irwin,5.1,1,26,D
Niklas.Svedberg,5.1,0.6,25,G
Chris.Kelly,5.1,3,33,W
Brett.Connolly,5,0.851,22,W
Johan.Larsson,5,0.763,22,W
Zbynek.Michalek,5.3,4,31,D
Shea.Weber,3.7,7.857,29,D
Boone.Jenner,4.9,0.778,21,W
Lee.Stempniak,4.8,0.9,31,W
Jonathan.Bernier,4.9,2.9,26,G
Martin.Erat,4.8,4.5,33,W
Marc.Methot,4.3,3,29,D
Mark.Streit,4.8,5.25,36,D
Ryan.Kesler,9.6,5,30,C
Matt.Stajan,6.7,3.25,30,C
Chris.Vandevelde,4.8,0.575,27,C
James.Wisniewski,4.8,5.5,30,D
Cody.Franson,4.1,3.3,27,D
Rob.Klinkhammer,4.7,0.625,28,W
Jesper.Fast,6.2,0.805,22,W
Daniel.Sedin,6.4,7,33,W
Cedric.Paquette,4.6,0.633,21,C
Craig.Smith,4.9,2,25,W
Matthew.Calvert,4.6,0.988,24,W
Jay.Beagle,5.9,0.9,28,W
Dominic.Moore,3,1.5,34,C
Nick.Spaling,5,2.2,25,W
Marian.Hossa,4.4,5.275,35,W
Tomas.Hertl,4.4,0.925,20,W
Sergei.Bobrovsky,4.4,5.625,25,G
Marek.Zidlicky,4.7,3,37,D
Trevor.Lewis,4.4,1.525,27,C
Ben.Chiarot,3.7,0.6,23,D
Riley.Nash,4.3,0.575,25,C
Mike.Green,2.8,6,28,D
Matt.Cullen,4.8,3.5,37,W
Hampus.Lindholm,3.6,0.894,20,D
John-Michael.Liles,4.2,3.875,33,D
Jeff.Skinner,4.2,5.725,22,W
Nick.Bonino,2.5,1.9,26,C
Michael.Grabner,3.5,3,26,W
Jakub.Kindl,4.3,2.4,27,D
David.Legwand,3,3,34,C
Pekka.Rinne,1.6,7,31,G
Patrick.Maroon,2.2,0.575,26,W
Zdeno.Chara,4,6.917,37,D
Clayton.Stoner,4.9,3.25,29,D
Derek.Roy,4,1,31,C
Matt.Moulson,3.9,5,30,W
David.Desharnais,4.4,3.5,28,C
Brian.Boyle,1.6,2,29,C
Sean.Bergenheim,3.6,2.75,30,W
Vernon.Fiddler,3.7,1.25,34,C
Carl.Hagelin,4.9,2.25,26,W
Dennis.Wideman,2.8,5.25,31,D
Jonas.Brodin,2.5,0.894,21,D
Taylor.Beck,2.4,0.55,23,W
Matt.Duchene,3.6,6,23,C
Robert.Bortuzzo,3.6,0.6,25,D
Jonas.Hiller,5.3,4.5,32,G
Tuomo.Ruutu,3.4,4.75,31,W
Jonathan.Quick,3.4,5.8,28,G
Richard.Panik,3.4,0.735,23,W
Derek.Stepan,4,3.075,24,C
Jordie.Benn,3.4,0.7,27,D
Francois.Beauchemin,4.7,3.5,34,D
Matt.Greene,3.3,2.5,31,D
Lance.Bouma,2.6,0.775,24,C
Teuvo.Teravainen,4.7,0.894,20,C
David.Perron,1.7,3.812,26,W
Kevan.Miller,3.3,0.8,26,D
Stephen.Gionta,3.2,0.85,30,C
Zack.Kassian,3.2,1.75,23,W
Mackenzie.Skapski,3.2,0.663,20,G
Brad.Boyes,3.2,2.625,32,W
Adam.Henrique,3.2,4,24,C
Laurent.Brossoit,3.1,0.659,21,G
Boyd.Gordon,3.1,3,30,C
Xavier.Ouellet,3.1,0.67,21,D
Jeff.Petry,2.2,3.075,26,D
Andrei.Markov,6.1,5.75,35,D
Chris.Higgins,3.3,2.5,31,W
Trevor.van.Riemsdyk,2.8,0.925,23,D
Petr.Mrazek,5.4,0.595,22,G
Andrej.Nestrasil,3,0.55,23,C
Andrei.Vasilevskiy,2.4,0.925,20,G
Reto.Berra,3,1.45,27,G
Alex.Tanguay,2.9,3.5,34,W
Jori.Lehtera,2.7,2.75,26,C
Paul.Gaustad,1.3,3.25,32,C
Carl.Soderberg,2.9,1.008,28,C
Matthew.Martin,4.4,1,25,W
Sam.Gagner,2.8,4.8,25,C
Karl.Stollery,2.8,0.605,26,D
Andrew.Shaw,4.5,2,23,C
Brett.Ritchie,2.7,0.814,21,W
Scottie.Upshall,2.7,3.5,30,W
Valtteri.Filppula,5.1,5,30,C
Dustin.Brown,2.7,5.875,29,W
Pascal.Dupuis,2.7,3.75,35,W
Eric.Nystrom,2.6,2.5,31,W
Alec.Martinez,2.6,1.1,27,D
Andrej.Sekera,2.5,2.75,28,D
Jacob.Josefson,2.5,0.8,23,C
Antoine.Vermette,-1.2,3.75,32,C
Nathan.MacKinnon,2.5,0.925,19,C
Ryan.Spooner,2.5,0.76,22,C
Ryan.White,2.5,0.575,26,C
Erik.Johnson,2.4,3.75,26,D
Chris.Tierney,2.4,0.712,20,C
Patrick.Sharp,3.6,5.9,32,W
Rickard.Rakell,3,0.894,21,C
Curtis.Lazar,2.4,0.925,19,C
Brayden.McNabb,2.3,0.65,23,D
Jamie.McBain,2.2,0.55,26,D
John.Mitchell,2.2,1.8,29,C
Alexey.Marchenko,1.9,0.667,22,D
Carlo.Colaiacovo,2.2,0.625,31,D
Brenden.Morrow,0.1,1.55,35,W
Zach.Trotman,2.1,0.625,24,D
Patrik.Berglund,4.1,3.7,26,C
Tyler.Pitlick,2.1,0.725,22,W
Dwight.King,2.1,1.95,25,W
Curtis.Glencross,1.1,2.55,31,W
Milan.Lucic,2.1,6,26,W
Evgeny.Kuznetsov,2.9,0.87,22,C
Paul.Postma,2.1,0.713,25,D
Kris.Versteeg,1.8,4.4,28,W
Milan.Michalek,2,4,29,W
Travis.Zajac,2,5.75,29,C
Kevin.Connauton,2,0.683,24,D
Vincent.Trocheck,2,0.662,21,C
Leo.Komarov,2,2.95,27,W
Jordan.Schroeder,1.8,0.6,23,C
Damon.Severson,2,0.606,20,D
Ryan.Reaves,-2.9,1.125,27,W
Victor.Rask,1.9,0.681,21,C
Linden.Vey,1.9,0.735,23,C
Yannick.Weber,1.5,0.85,25,D
Artem.Anisimov,1.9,3.283,26,C
Michal.Neuvirth,2.5,2.5,26,G
Tim.Jackman,1.5,0.637,32,W
Thomas.Hickey,1,0.675,25,D
Tyler.Kennedy,1.8,2.35,28,W
Paul.Byron,1.9,0.6,25,C
Tomas.Fleischmann,2.9,4.5,30,W
Brandon.Prust,2.7,2.5,30,C
Torrey.Mitchell,3.5,1.7,29,C
Jonathan.Toews,22,6.3,26,C
Simon.Gagne,1.8,0.6,34,W
Luke.Schenn,1.8,3.6,24,D
Casey.Cizikas,-0.7,1,23,C
Emerson.Etem,3.1,0.87,22,W
Pierre-Edouard.Bellemare,1.7,0.6,29,C
Lars.Eller,2,3.5,25,C
T.J..Brodie,3,NA,24,D
Scott.Gomez,1.7,0.55,34,C
Kyle.Chipchura,1.7,0.875,28,C
Mark.Barberio,0.8,0.874,24,D
Michael.Bournival,1.6,0.66,22,W
Niklas.Kronwall,-0.7,4.75,33,D
Seth.Griffith,1.6,0.759,21,W
Simon.Despres,0,0.9,23,D
Kyle.Brodziak,-0.2,2.833,30,C
Alex.Pietrangelo,-3.3,6.5,24,D
Jack.Johnson,1.5,4.357,27,D
Micheal.Ferland,0.3,0.612,22,W
Alexander.Semin,1.5,7,30,W
David.Krejci,1.5,5.25,28,C
Cal.Clutterbuck,-1.6,2.75,26,W
Jordan.Martinook,1.5,0.658,22,C
Thomas.McCollum,1.5,0.6,24,G
Andrew.Greene,1.5,3,31,D
Joe.Morrow,1.5,0.863,21,D
Jussi.Jokinen,1.4,4,31,C
Adam.Pardy,-1.1,0.7,30,D
Troy.Grosenick,1.4,0.625,25,G
Viktor.Stalberg,1,3,28,W
Dale.Weise,1.7,1.025,26,W
Ryan.Carter,0.9,0.725,31,C
Stephane.Veilleux,1.3,0.588,32,W
Elias.Lindholm,1.2,0.925,19,W
Brian.Flynn,0,0.637,26,C
Mikhail.Grigorenko,1.2,0.925,20,C
Grant.Clitsome,1.1,2.067,29,D
David.Schlemko,1,1.137,27,D
Mark.Pysyk,1.1,0.87,22,D
James.Sheppard,1.3,1.3,26,C
Brandon.Bollig,-7.3,1.25,27,W
Christian.Thomas,1.1,0.808,22,W
Tom.Wilson,-0.6,0.894,20,W
Ales.Hemsky,1.1,4,31,W
Brandon.Davidson,1.1,0.615,23,D
Rob.Scuderi,-3.5,3.375,35,D
Brett.Bellemore,1,0.6,26,D
Drew.Doughty,1,7,24,D
Brandon.McMillan,-0.9,0.625,24,C
Jordan.Nolan,1,0.7,25,W
Brad.Malone,1,0.65,25,W
Nikita.Nesterov,0,0.743,21,D
Jonathan.Drouin,-1.2,0.894,19,W
Dan.Carcillo,1,0.55,29,W
Sam.Bennett,1.1,0.925,18,C
William.Karlsson,1,0.831,21,C
Steve.Ott,-2.4,2.6,32,C
Alex.Chiasson,0.1,0.867,23,W
Chris.Butler,0.9,0.65,27,D
Erik.Haula,1.9,0.9,23,C
Jacob.De.La.Rose,-0.2,0.925,19,C
Mirco.Mueller,0.9,0.925,19,D
Patrik.Elias,0.9,5.5,38,C
Thomas.Vanek,-0.6,6.5,30,W
Tim.Gleason,0.1,1.2,31,D
Joe.Whitney,0.9,0.568,26,W
David.Rundblad,1.2,0.785,23,D
Stanislav.Galiev,0.9,0.595,22,W
Lucas.Lessio,0.9,0.831,21,W
Brandon.Manning,0.9,0.7,24,D
Tom.Gilbert,-4.1,2.8,31,D
Bobby.Ryan,0.4,5.1,27,W
Ben.Smith,0.8,1.5,26,C
Ben.Lovejoy,0.8,1.1,30,D
Freddie.Hamilton,0.8,0.627,22,C
Kyle.Quincey,1,4.25,29,D
Jonathan.Marchessault,0.6,0.925,23,W
Darcy.Kuemper,-9.9,1.25,24,G
Matt.Puempel,0.8,0.863,21,W
Raphael.Diaz,1.2,0.7,28,D
Drew.Stafford,-0.3,4,28,W
P.A..Parenteau,1.2,NA,31,W
Cam.Atkinson,0.8,1.15,25,W
Curtis.McElhinney,0.8,0.65,31,G
Miikka.Salomaki,0.8,0.781,21,W
Travis.Morin,0.8,0.55,30,C
Steven.Kampfer,0.8,0.55,25,D
Matt.Cooke,0.2,2.5,36,W
Roberto.Luongo,0.8,5.333,35,G
Tyler.Ennis,0.7,4.6,24,C
Matt.Niskanen,-1.2,5.75,27,D
Jared.Cowen,0.7,3.1,23,D
Andrew.Desjardins,-2.9,0.75,28,C
Jake.Allen,-0.8,0.8,24,G
Mark.Letestu,0.7,1.3,29,C
Brad.Richards,-2.6,2,34,C
Jarred.Tinordi,0.7,0.87,22,D
Michal.Rozsival,0.1,2.2,36,D
Brandon.Gormley,0.6,0.84,22,D
Reid.Boucher,0.6,0.693,21,W
Mike.Santorelli,-5,1.5,28,W
Greg.Pateryn,1,0.562,24,D
Eric.Boulton,0.6,0.65,38,W
Bryan.Lerg,0.6,0.575,28,W
Dan.Hamhuis,-1.7,4.5,31,D
Taylor.Chorney,0.9,0.55,27,D
Carl.Gunnarsson,0,3.15,27,D
Landon.Ferraro,-0.1,0.55,23,W
Danny.Biega,0.6,0.755,22,D
Brooks.Laich,-0.6,4.5,31,C
Frank.Corrado,0.5,0.592,21,D
Johnny.Oduya,0.4,3.375,32,D
Chris.Porter,0.9,0.675,30,W
Joakim.Andersson,-3.2,0.733,25,C
Justin.Hodgman,0.5,0.55,26,C
Joey.Hishon,0.5,0.851,22,C
Jakob.Silfverberg,0.4,0.85,23,W
Calvin.De.Haan,-1.2,1.967,23,D
Corey.Potter,0.8,0.7,30,D
Chris.Brown,0.5,0.853,23,C
Andrey.Makarov,0.5,0.57,21,G
Markus.Granlund,0.9,0.767,21,C
Steve.Downie,0.2,1,27,W
Jason.Chimera,-5,2,35,W
Alexei.Emelin,-4.4,4.1,28,D
Cody.Goloubef,0.4,0.625,24,D
Rocco.Grimaldi,0.4,0.925,21,W
Beau.Bennett,0.4,0.9,22,W
Valeri.Nichushkin,0.4,0.925,19,W
Kael.Mouillierat,0.4,0.675,27,C
Chris.Mueller,0.4,0.6,28,C
Jimmy.Howard,-9.8,5.292,30,G
Ryan.Miller,-2.8,6,34,G
Zack.Smith,0.1,1.887,26,C
Matt.Hunwick,0.5,0.6,29,D
Ronalds.Kenins,0.5,0.68,23,W
Marcel.Goc,-2.8,1.2,31,C
Jordan.Oesterle,0.3,0.767,22,D
Brian.Gibbons,0.3,0.75,26,C
Michael.Hutchinson,0.3,0.575,24,G
Andrej.Sustr,-1.9,0.874,23,D
Casey.Bailey,0.3,0.912,22,C
Matt.Halischuk,-0.2,0.725,26,W
Chris.Wagner,0.2,0.9,23,C
Brendan.Smith,-0.5,1.262,25,D
Martin.Hanzal,0.3,3.1,27,C
Matt.Nieto,0.3,0.759,21,W
Jiri.Sekac,-0.9,0.925,22,C
Derrick.Pouliot,0.2,0.863,20,D
Josh.Anderson,0.2,0.709,20,W
Bo.Horvat,0,0.894,19,C
Tom.Sestito,0.2,0.75,26,W
Patrik.Nemeth,0.2,0.763,22,D
Phillip.Danault,0.2,0.863,21,C
Emile.Poirier,0.2,0.925,19,W
Micheal.Haley,0.2,0.6,28,W
Michael.Kostka,0.2,0.65,28,D
Frederic.St-Denis,0.2,NA,28,D
Louis.Domingue,0.2,0.578,22,G
Tomas.Jurco,0.1,0.709,21,W
Luke.Glendening,-0.1,0.628,25,C
Bobby.Robins,0.2,0.6,32,W
Stefan.Noesen,0.2,0.863,21,W
Carl.Klingberg,0.2,0.65,23,W
Christian.Folin,0.2,0.925,23,D
J.T..Brown,-3,NA,24,W
Eric.Gryba,-5.1,1.25,26,D
Aaron.Volpatti,0.2,0.575,29,W
Luke.Witkowski,0.1,0.627,24,D
Michael.Sgarbossa,0.1,0.591,22,C
Travis.Moen,0.1,1.85,32,W
Jeff.Schultz,0.1,0.85,28,D
Paul.Carey,0.1,0.715,25,W
Anton.Lander,0.1,0.6,23,C
Tim.Sestito,0.1,0.562,30,C
Liam.O'Brien,0.1,NA,20,W
Daniel.Cleary,0.1,1.5,35,W
Adam.Larsson,0.1,0.9,21,D
Bobby.Farnham,0.1,0.55,25,W
Brooks.Orpik,-8,5.5,33,D
Marek.Mazanec,0,0.61,23,G
Anton.Volchenkov,0,1,32,D
Greg.McKegg,0,0.655,22,C
Chris.Neil,-0.4,1.9,35,W
Daniel.Girardi,-0.5,5.5,30,D
Keegan.Lowe,0,0.737,21,D
Keaton.Ellerby,0,0.7,25,D
Duncan.Siemens,0,NA,21,D
Raman.Hrabarenka,0,0.693,22,D
Patrice.Cormier,0,0.625,24,W
